id;name;slug;provinceId
14.07;Rokan Hilir;rokan-hilir;4
14.08;Siak;siak;4
14.09;Kuantan Singingi;kuantan-singingi;4
14.10;Kepulauan Meranti;kepulauan-meranti;4
14.71;Kota Pekanbaru;kota-pekanbaru;4
14.72;Kota Dumai;kota-dumai;4
15.01;Kerinci;kerinci;5
15.02;Merangin;merangin;5
15.03;Sarolangun;sarolangun;5
15.04;Batanghari;batanghari;5
15.05;Muaro Jambi;muaro-jambi;5
15.06;Tanjung Jabung Barat;tanjung-jabung-barat;5
15.07;Tanjung Jabung Timur;tanjung-jabung-timur;5
15.08;Bungo;bungo;5
15.09;Tebo;tebo;5
15.71;Kota Jambi;kota-jambi;5
15.72;Kota Sungai Penuh;kota-sungai-penuh;5
16.01;Ogan Komering Ulu;ogan-komering-ulu;6
16.02;Ogan Komering Ilir;ogan-komering-ilir;6
16.03;Muara Enim;muara-enim;6
16.04;Lahat;lahat;6
16.05;Musi Rawas;musi-rawas;6
16.06;Musi Banyuasin;musi-banyuasin;6
16.07;Banyuasin;banyuasin;6
16.08;Ogan Komering Ulu Timur;ogan-komering-ulu-timur;6
16.09;Ogan Komering Ulu Selatan;ogan-komering-ulu-selatan;6
16.10;Ogan Ilir;ogan-ilir;6
16.11;Empat Lawang;empat-lawang;6
16.12;Penukal Abab Lematang Ilir;penukal-abab-lematang-ilir;6
16.13;Musi Rawas Utara;musi-rawas-utara;6
16.71;Kota Palembang;kota-palembang;6
16.72;Kota Pagar Alam;kota-pagar-alam;6
16.73;Kota Lubuk Linggau;kota-lubuk-linggau;6
16.74;Kota Prabumulih;kota-prabumulih;6
17.01;Bengkulu Selatan;bengkulu-selatan;7
17.02;Rejang Lebong;rejang-lebong;7
17.03;Bengkulu Utara;bengkulu-utara;7
17.04;Kaur;kaur;7
17.05;Seluma;seluma;7
17.06;Muko Muko;muko-muko;7
17.07;Lebong;lebong;7
17.08;Kepahiang;kepahiang;7
17.09;Bengkulu Tengah;bengkulu-tengah;7
17.71;Kota Bengkulu;kota-bengkulu;7
18.01;Lampung Selatan;lampung-selatan;8
18.02;Lampung Tengah;lampung-tengah;8
18.03;Lampung Utara;lampung-utara;8
18.04;Lampung Barat;lampung-barat;8
